customer_id,tenure_months,monthly_charges,total_charges,support_tickets_90d,usage_drop_pct,late_payments_12m,satisfaction_score,contract_type,payment_method,internet_service,tech_support,senior_citizen,dependents,autopay,churn
CUST-00001,7,67.47,525.07,2,-6.5,1,9.0,One year,Bank transfer,Fiber optic,Yes,0,0,1,0
CUST-00002,56,65.17,3961.38,1,33.4,1,4.7,One year,Credit card,Fiber optic,No,0,0,1,1
CUST-00003,48,99.53,5060.84,1,15.0,0,4.8,Month-to-month,Electronic check,Fiber optic,No,0,0,0,1
CUST-00004,32,100.93,3231.69,2,21.3,2,8.9,One year,Electronic check,None,Yes,0,0,1,0
CUST-00005,32,63.02,1432.45,2,14.4,1,6.6,Two year,Credit card,Fiber optic,No,0,0,0,0
CUST-00006,62,66.71,3859.58,1,23.6,1,3.1,Two year,Electronic check,Fiber optic,Yes,0,1,0,0
CUST-00007,7,93.15,842.88,3,-6.3,0,5.8,Month-to-month,Credit card,Fiber optic,No,0,0,1,0
CUST-00008,51,54.83,2408.77,1,9.3,0,6.3,Two year,Electronic check,DSL,No,0,0,1,0
CUST-00009,15,66.51,915.98,3,16.1,0,6.5,Month-to-month,Credit card,Fiber optic,Yes,0,0,0,0
CUST-00010,7,80.51,648.19,1,28.7,0,8.5,Month-to-month,Credit card,Fiber optic,Yes,0,1,0,0
CUST-00011,38,105.89,4391.21,0,50.8,0,5.4,Month-to-month,Electronic check,DSL,Yes,0,0,0,1
CUST-00012,71,61.07,4192.22,2,14.5,0,8.8,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00013,53,26.41,1238.86,1,-2.6,0,7.6,Month-to-month,Electronic check,DSL,No,1,0,0,0
CUST-00014,55,24.34,1325.59,1,-11.1,1,4.8,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00015,52,42.74,2310.21,1,-6.5,0,6.5,One year,Bank transfer,DSL,No,0,0,0,0
CUST-00016,57,41.23,2311.55,1,-4.4,0,8.0,One year,Credit card,None,No,0,0,1,0
CUST-00017,37,73.67,2988.11,2,-35.0,1,7.2,One year,Credit card,DSL,No,1,0,0,0
CUST-00018,10,44.71,247.31,3,-2.8,1,7.8,Month-to-month,Electronic check,DSL,No,0,1,0,0
CUST-00019,61,58.32,3587.56,3,19.5,0,6.0,Month-to-month,Credit card,Fiber optic,Yes,0,0,0,0
CUST-00020,33,56.33,1970.19,2,9.2,1,8.1,One year,Electronic check,None,No,1,0,0,0
CUST-00021,37,65.67,2329.73,1,3.9,0,6.4,One year,Electronic check,DSL,No,0,1,1,0
CUST-00022,27,115.03,3315.74,1,-18.0,0,10.0,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00023,14,96.53,1388.66,1,24.8,1,4.7,Two year,Bank transfer,Fiber optic,No,0,1,1,0
CUST-00024,67,78.45,5453.36,4,16.2,2,10.0,One year,Electronic check,Fiber optic,Yes,0,1,1,0
CUST-00025,57,65.09,3758.66,0,7.8,0,5.4,One year,Electronic check,None,No,0,1,0,0
CUST-00026,47,65.87,3189.99,1,-27.2,1,9.4,One year,Bank transfer,Fiber optic,No,0,1,0,0
CUST-00027,29,87.18,2370.12,5,0.1,2,8.6,One year,Mailed check,DSL,Yes,0,1,1,0
CUST-00028,60,94.36,5503.91,0,14.9,1,5.5,One year,Credit card,Fiber optic,No,1,0,0,0
CUST-00029,40,52.59,2409.7,1,7.5,1,8.2,One year,Mailed check,Fiber optic,No,0,0,1,0
CUST-00030,32,79.02,2687.52,3,11.1,1,6.2,Month-to-month,Electronic check,Fiber optic,No,0,0,0,1
CUST-00031,33,21.11,440.89,1,19.0,0,7.6,Month-to-month,Mailed check,DSL,No,0,0,0,0
CUST-00032,17,83.93,1472.03,1,10.5,1,7.4,Month-to-month,Electronic check,Fiber optic,No,1,0,0,1
CUST-00033,7,99.34,101.94,4,18.4,0,6.5,Two year,Electronic check,Fiber optic,Yes,1,0,0,1
CUST-00034,40,70.16,2662.91,1,-5.5,0,6.3,Month-to-month,Electronic check,DSL,No,0,0,0,0
CUST-00035,64,128.86,8487.3,2,-11.6,1,7.7,Month-to-month,Bank transfer,DSL,No,0,1,0,0
CUST-00036,5,53.33,235.36,0,15.6,1,5.5,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00037,62,84.09,5243.06,1,18.9,3,5.5,Month-to-month,Credit card,None,No,0,0,0,0
CUST-00038,60,77.0,3865.9,2,16.3,1,8.8,Two year,Credit card,Fiber optic,Yes,0,0,0,0
CUST-00039,20,75.19,1405.74,4,10.1,0,7.9,One year,Electronic check,DSL,No,0,0,1,0
CUST-00040,46,74.8,3525.37,1,2.8,0,4.7,Month-to-month,Credit card,Fiber optic,No,0,0,1,0
CUST-00041,12,81.0,1088.32,2,11.4,0,5.3,Two year,Electronic check,Fiber optic,No,1,0,0,0
CUST-00042,55,101.74,5836.29,3,14.1,1,3.3,Two year,Electronic check,None,No,0,0,0,0
CUST-00043,51,116.58,5893.02,2,15.0,2,8.7,One year,Electronic check,Fiber optic,No,0,1,0,0
CUST-00044,26,77.94,1985.03,0,49.7,0,8.3,One year,Electronic check,DSL,No,0,0,1,0
CUST-00045,5,100.83,171.12,0,-6.7,0,5.1,One year,Electronic check,Fiber optic,No,0,1,0,0
CUST-00046,70,58.35,4033.37,4,59.6,0,8.3,One year,Electronic check,Fiber optic,Yes,1,1,1,0
CUST-00047,33,99.45,2966.46,0,-12.1,1,10.0,Two year,Electronic check,DSL,No,0,0,0,0
CUST-00048,65,56.66,3220.93,2,14.2,0,4.3,One year,Credit card,DSL,No,0,1,1,0
CUST-00049,49,108.54,5047.17,1,-11.1,0,6.0,Month-to-month,Credit card,DSL,No,0,0,0,0
CUST-00050,57,139.9,8351.47,1,12.9,0,4.3,Month-to-month,Mailed check,Fiber optic,Yes,0,0,1,0
CUST-00051,55,74.58,4034.26,0,23.7,2,8.8,Month-to-month,Electronic check,Fiber optic,No,0,1,0,0
CUST-00052,15,20.0,354.97,0,8.5,0,6.9,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00053,27,62.65,1563.18,2,23.6,2,6.4,One year,Bank transfer,Fiber optic,No,0,1,0,0
CUST-00054,34,112.49,3377.02,1,1.2,1,7.5,Two year,Credit card,Fiber optic,Yes,0,1,0,0
CUST-00055,36,93.49,3599.67,2,-24.8,1,6.1,Month-to-month,Electronic check,DSL,No,0,0,0,0
CUST-00056,4,84.97,20.0,4,18.0,2,6.4,Month-to-month,Credit card,Fiber optic,No,0,0,0,0
CUST-00057,40,106.24,4110.9,1,8.5,0,7.6,One year,Mailed check,DSL,Yes,0,0,0,0
CUST-00058,12,91.56,1085.07,4,0.3,0,6.0,Month-to-month,Electronic check,None,No,0,0,0,1
CUST-00059,54,112.1,6111.02,0,1.4,1,6.3,Month-to-month,Mailed check,None,No,1,0,0,1
CUST-00060,50,103.74,5005.38,2,14.5,1,6.8,One year,Electronic check,Fiber optic,No,0,1,1,0
CUST-00061,67,120.61,7621.38,2,-5.0,0,7.3,Month-to-month,Bank transfer,DSL,No,0,0,0,0
CUST-00062,54,88.05,4554.43,2,14.0,2,8.2,One year,Electronic check,DSL,Yes,0,1,1,0
CUST-00063,27,103.35,2603.26,1,27.0,1,8.1,One year,Credit card,DSL,No,0,1,0,1
CUST-00064,70,69.4,4664.73,3,41.0,0,4.4,One year,Electronic check,Fiber optic,No,0,1,1,0
CUST-00065,30,61.16,2077.31,0,30.5,0,9.6,Month-to-month,Bank transfer,None,Yes,1,0,0,0
CUST-00066,24,125.79,2715.56,1,10.6,0,7.2,Month-to-month,Electronic check,DSL,No,0,0,1,0
CUST-00067,66,84.05,5622.54,2,12.1,1,6.5,Month-to-month,Bank transfer,Fiber optic,No,0,1,1,0
CUST-00068,27,100.54,2754.15,3,1.6,1,5.5,Month-to-month,Credit card,Fiber optic,Yes,0,0,0,1
CUST-00069,6,81.46,728.87,3,0.5,1,10.0,Month-to-month,Electronic check,Fiber optic,Yes,0,0,0,0
CUST-00070,34,61.58,2060.44,2,22.0,0,10.0,One year,Bank transfer,Fiber optic,Yes,0,1,0,0
CUST-00071,58,78.31,4739.76,1,3.1,3,10.0,Month-to-month,Mailed check,Fiber optic,No,0,0,1,0
CUST-00072,14,118.21,1611.88,0,13.9,1,7.3,Two year,Mailed check,Fiber optic,Yes,1,0,1,1
CUST-00073,34,93.55,3289.3,3,-7.4,0,7.7,Two year,Mailed check,DSL,No,0,0,0,0
